teller,aanslag,deel_box1,deel_box3,deel_div
0,-2697.4723878337336,0.0,0.0,0.0
1,-2697.4723878337336,0.0,0.0,0.05
2,-2697.4723878337336,0.0,0.0,0.1
3,-2697.4723878337336,0.0,0.0,0.15000000000000002
4,-2697.4723878337336,0.0,0.0,0.2
5,-2697.4723878337336,0.0,0.0,0.25
6,-2697.4723878337336,0.0,0.0,0.30000000000000004
7,-2697.4723878337336,0.0,0.0,0.35000000000000003
8,-2697.4723878337336,0.0,0.0,0.4
9,-2697.4723878337336,0.0,0.0,0.45
10,-2697.4723878337336,0.0,0.0,0.5
11,-2697.4723878337336,0.0,0.0,0.55
12,-2697.4723878337336,0.0,0.0,0.6000000000000001
13,-2697.4723878337336,0.0,0.0,0.65
14,-2697.4723878337336,0.0,0.0,0.7000000000000001
15,-2697.4723878337336,0.0,0.0,0.75
16,-2697.4723878337336,0.0,0.0,0.8
17,-2697.4723878337336,0.0,0.0,0.8500000000000001
18,-2697.4723878337336,0.0,0.0,0.9
19,-2697.4723878337336,0.0,0.0,0.9500000000000001
20,-2697.4723878337336,0.0,0.0,1.0
21,-2697.4723878337354,0.0,0.05,0.0
22,-2697.4723878337354,0.0,0.05,0.05
23,-2697.4723878337354,0.0,0.05,0.1
24,-2697.4723878337354,0.0,0.05,0.15000000000000002
25,-2697.4723878337354,0.0,0.05,0.2
26,-2697.4723878337354,0.0,0.05,0.25
27,-2697.4723878337354,0.0,0.05,0.30000000000000004
28,-2697.4723878337354,0.0,0.05,0.35000000000000003
29,-2697.4723878337354,0.0,0.05,0.4
30,-2697.4723878337354,0.0,0.05,0.45
31,-2697.4723878337354,0.0,0.05,0.5
32,-2697.4723878337354,0.0,0.05,0.55
33,-2697.4723878337354,0.0,0.05,0.6000000000000001
34,-2697.4723878337354,0.0,0.05,0.65
35,-2697.4723878337354,0.0,0.05,0.7000000000000001
36,-2697.4723878337354,0.0,0.05,0.75
37,-2697.4723878337354,0.0,0.05,0.8
38,-2697.4723878337354,0.0,0.05,0.8500000000000001
39,-2697.4723878337354,0.0,0.05,0.9
40,-2697.4723878337354,0.0,0.05,0.9500000000000001
41,-2697.4723878337354,0.0,0.05,1.0
42,-2697.4723878337336,0.0,0.1,0.0
43,-2697.4723878337336,0.0,0.1,0.05
44,-2697.4723878337336,0.0,0.1,0.1
45,-2697.4723878337336,0.0,0.1,0.15000000000000002
46,-2697.4723878337336,0.0,0.1,0.2
47,-2697.4723878337336,0.0,0.1,0.25
48,-2697.4723878337336,0.0,0.1,0.30000000000000004
49,-2697.4723878337336,0.0,0.1,0.35000000000000003
50,-2697.4723878337336,0.0,0.1,0.4
51,-2697.4723878337336,0.0,0.1,0.45
52,-2697.4723878337336,0.0,0.1,0.5
53,-2697.4723878337336,0.0,0.1,0.55
54,-2697.4723878337336,0.0,0.1,0.6000000000000001
55,-2697.4723878337336,0.0,0.1,0.65
56,-2697.4723878337336,0.0,0.1,0.7000000000000001
57,-2697.4723878337336,0.0,0.1,0.75
58,-2697.4723878337336,0.0,0.1,0.8
59,-2697.4723878337336,0.0,0.1,0.8500000000000001
60,-2697.4723878337336,0.0,0.1,0.9
61,-2697.4723878337336,0.0,0.1,0.9500000000000001
62,-2697.4723878337336,0.0,0.1,1.0
63,-2697.4723878337354,0.0,0.15000000000000002,0.0
64,-2697.4723878337354,0.0,0.15000000000000002,0.05
65,-2697.4723878337354,0.0,0.15000000000000002,0.1
66,-2697.4723878337354,0.0,0.15000000000000002,0.15000000000000002
67,-2697.4723878337354,0.0,0.15000000000000002,0.2
68,-2697.4723878337354,0.0,0.15000000000000002,0.25
69,-2697.4723878337354,0.0,0.15000000000000002,0.30000000000000004
70,-2697.4723878337354,0.0,0.15000000000000002,0.35000000000000003
71,-2697.4723878337354,0.0,0.15000000000000002,0.4
72,-2697.4723878337354,0.0,0.15000000000000002,0.45
73,-2697.4723878337354,0.0,0.15000000000000002,0.5
74,-2697.4723878337354,0.0,0.15000000000000002,0.55
75,-2697.4723878337354,0.0,0.15000000000000002,0.6000000000000001
76,-2697.4723878337354,0.0,0.15000000000000002,0.65
77,-2697.4723878337354,0.0,0.15000000000000002,0.7000000000000001
78,-2697.4723878337354,0.0,0.15000000000000002,0.75
79,-2697.4723878337354,0.0,0.15000000000000002,0.8
80,-2697.4723878337354,0.0,0.15000000000000002,0.8500000000000001
81,-2697.4723878337354,0.0,0.15000000000000002,0.9
82,-2697.4723878337354,0.0,0.15000000000000002,0.9500000000000001
83,-2697.4723878337354,0.0,0.15000000000000002,1.0
84,-2697.4723878337354,0.0,0.2,0.0
85,-2697.4723878337354,0.0,0.2,0.05
86,-2697.4723878337354,0.0,0.2,0.1
87,-2697.4723878337354,0.0,0.2,0.15000000000000002
88,-2697.4723878337354,0.0,0.2,0.2
89,-2697.4723878337354,0.0,0.2,0.25
90,-2697.4723878337354,0.0,0.2,0.30000000000000004
91,-2697.4723878337354,0.0,0.2,0.35000000000000003
92,-2697.4723878337354,0.0,0.2,0.4
93,-2697.4723878337354,0.0,0.2,0.45
94,-2697.4723878337354,0.0,0.2,0.5
95,-2697.4723878337354,0.0,0.2,0.55
96,-2697.4723878337354,0.0,0.2,0.6000000000000001
97,-2697.4723878337354,0.0,0.2,0.65
98,-2697.4723878337354,0.0,0.2,0.7000000000000001
99,-2697.4723878337354,0.0,0.2,0.75
100,-2697.4723878337354,0.0,0.2,0.8
101,-2697.4723878337354,0.0,0.2,0.8500000000000001
102,-2697.4723878337354,0.0,0.2,0.9
103,-2697.4723878337354,0.0,0.2,0.9500000000000001
104,-2697.4723878337354,0.0,0.2,1.0
105,-2697.4723878337336,0.0,0.25,0.0
106,-2697.4723878337336,0.0,0.25,0.05
107,-2697.4723878337336,0.0,0.25,0.1
108,-2697.4723878337336,0.0,0.25,0.15000000000000002
109,-2697.4723878337336,0.0,0.25,0.2
110,-2697.4723878337336,0.0,0.25,0.25
111,-2697.4723878337336,0.0,0.25,0.30000000000000004
112,-2697.4723878337336,0.0,0.25,0.35000000000000003
113,-2697.4723878337336,0.0,0.25,0.4
114,-2697.4723878337336,0.0,0.25,0.45
115,-2697.4723878337336,0.0,0.25,0.5
116,-2697.4723878337336,0.0,0.25,0.55
117,-2697.4723878337336,0.0,0.25,0.6000000000000001
118,-2697.4723878337336,0.0,0.25,0.65
119,-2697.4723878337336,0.0,0.25,0.7000000000000001
120,-2697.4723878337336,0.0,0.25,0.75
121,-2697.4723878337336,0.0,0.25,0.8
122,-2697.4723878337336,0.0,0.25,0.8500000000000001
123,-2697.4723878337336,0.0,0.25,0.9
124,-2697.4723878337336,0.0,0.25,0.9500000000000001
125,-2697.4723878337336,0.0,0.25,1.0
126,-2697.472387833732,0.0,0.30000000000000004,0.0
127,-2697.472387833732,0.0,0.30000000000000004,0.05
128,-2697.472387833732,0.0,0.30000000000000004,0.1
129,-2697.472387833732,0.0,0.30000000000000004,0.15000000000000002
130,-2697.472387833732,0.0,0.30000000000000004,0.2
131,-2697.472387833732,0.0,0.30000000000000004,0.25
132,-2697.472387833732,0.0,0.30000000000000004,0.30000000000000004
133,-2697.472387833732,0.0,0.30000000000000004,0.35000000000000003
134,-2697.472387833732,0.0,0.30000000000000004,0.4
135,-2697.472387833732,0.0,0.30000000000000004,0.45
136,-2697.472387833732,0.0,0.30000000000000004,0.5
137,-2697.472387833732,0.0,0.30000000000000004,0.55
138,-2697.472387833732,0.0,0.30000000000000004,0.6000000000000001
139,-2697.472387833732,0.0,0.30000000000000004,0.65
140,-2697.472387833732,0.0,0.30000000000000004,0.7000000000000001
141,-2697.472387833732,0.0,0.30000000000000004,0.75
142,-2697.472387833732,0.0,0.30000000000000004,0.8
143,-2697.472387833732,0.0,0.30000000000000004,0.8500000000000001
144,-2697.472387833732,0.0,0.30000000000000004,0.9
145,-2697.472387833732,0.0,0.30000000000000004,0.9500000000000001
146,-2697.472387833732,0.0,0.30000000000000004,1.0
147,-2697.4723878337336,0.0,0.35000000000000003,0.0
148,-2697.4723878337336,0.0,0.35000000000000003,0.05
149,-2697.4723878337336,0.0,0.35000000000000003,0.1
150,-2697.4723878337336,0.0,0.35000000000000003,0.15000000000000002
151,-2697.4723878337336,0.0,0.35000000000000003,0.2
152,-2697.4723878337336,0.0,0.35000000000000003,0.25
153,-2697.4723878337336,0.0,0.35000000000000003,0.30000000000000004
154,-2697.4723878337336,0.0,0.35000000000000003,0.35000000000000003
155,-2697.4723878337336,0.0,0.35000000000000003,0.4
156,-2697.4723878337336,0.0,0.35000000000000003,0.45
157,-2697.4723878337336,0.0,0.35000000000000003,0.5
158,-2697.4723878337336,0.0,0.35000000000000003,0.55
159,-2697.4723878337336,0.0,0.35000000000000003,0.6000000000000001
160,-2697.4723878337336,0.0,0.35000000000000003,0.65
161,-2697.4723878337336,0.0,0.35000000000000003,0.7000000000000001
162,-2697.4723878337336,0.0,0.35000000000000003,0.75
